Category: All categories

Month,peach milkshake: (United States)
2004-01,8
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,14
2004-08,12
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,5
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,3
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,3
2006-09,3
2006-10,0
2006-11,0
2006-12,0
2007-01,2
2007-02,0
2007-03,4
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,2
2007-11,2
2007-12,0
2008-01,0
2008-02,0
2008-03,3
2008-04,0
2008-05,0
2008-06,0
2008-07,2
2008-08,2
2008-09,0
2008-10,1
2008-11,0
2008-12,0
2009-01,0
2009-02,1
2009-03,1
2009-04,1
2009-05,10
2009-06,13
2009-07,13
2009-08,11
2009-09,4
2009-10,2
2009-11,2
2009-12,2
2010-01,0
2010-02,4
2010-03,1
2010-04,8
2010-05,8
2010-06,9
2010-07,7
2010-08,7
2010-09,4
2010-10,0
2010-11,2
2010-12,1
2011-01,3
2011-02,2
2011-03,1
2011-04,1
2011-05,1
2011-06,9
2011-07,22
2011-08,10
2011-09,7
2011-10,4
2011-11,1
2011-12,1
2012-01,1
2012-02,2
2012-03,3
2012-04,3
2012-05,2
2012-06,14
2012-07,23
2012-08,16
2012-09,7
2012-10,3
2012-11,3
2012-12,1
2013-01,2
2013-02,1
2013-03,2
2013-04,3
2013-05,13
2013-06,14
2013-07,13
2013-08,9
2013-09,4
2013-10,3
2013-11,4
2013-12,0
2014-01,3
2014-02,3
2014-03,4
2014-04,10
2014-05,10
2014-06,11
2014-07,11
2014-08,13
2014-09,7
2014-10,2
2014-11,2
2014-12,4
2015-01,2
2015-02,3
2015-03,6
2015-04,8
2015-05,19
2015-06,27
2015-07,26
2015-08,13
2015-09,8
2015-10,4
2015-11,2
2015-12,1
2016-01,2
2016-02,2
2016-03,8
2016-04,11
2016-05,24
2016-06,32
2016-07,20
2016-08,17
2016-09,8
2016-10,2
2016-11,5
2016-12,5
2017-01,2
2017-02,2
2017-03,7
2017-04,12
2017-05,27
2017-06,26
2017-07,26
2017-08,22
2017-09,6
2017-10,6
2017-11,3
2017-12,1
2018-01,4
2018-02,3
2018-03,9
2018-04,13
2018-05,32
2018-06,45
2018-07,33
2018-08,23
2018-09,11
2018-10,3
2018-11,7
2018-12,1
2019-01,6
2019-02,6
2019-03,7
2019-04,10
2019-05,35
2019-06,37
2019-07,33
2019-08,32
2019-09,14
2019-10,3
2019-11,1
2019-12,2
2020-01,5
2020-02,6
2020-03,8
2020-04,10
2020-05,50
2020-06,79
2020-07,54
2020-08,31
2020-09,59
2020-10,25
2020-11,12
2020-12,11
2021-01,10
2021-02,12
2021-03,11
2021-04,23
2021-05,45
2021-06,100
2021-07,61
2021-08,45
2021-09,31
2021-10,15
2021-11,5
2021-12,6
2022-01,5
2022-02,7
2022-03,8
